   _____   _                       _   ______                                       
  / ____| | |                     | | |  ____|                                     
 | |      | |   ___    _   _    __| | | |__     _ __    __ _   _ __ ___     ___    
 | |      | |  / _ \  | | | |  / _` | |  __|   | '__|  / _` | | '_ ` _ \   / _ \
 | |____  | | | (_) | | |_| | | (_| | | |      | |    | (_| | | | | | | | |  __/
  \_____| |_|  \___/   \__,_|  \__,_| |_|      |_|     \__,_| |_| |_| |_|  \___|

16:43:57.319 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 2522117 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
16:44:00.018 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19881002
16:44:00.018 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19880702
16:44:00.018 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19880401
16:44:00.018 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19871231
16:44:00.019 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19870930
16:44:00.019 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19870630
16:44:00.020 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19870330
16:44:00.020 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19861228
16:44:00.021 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19860927
16:44:00.021 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19860627
16:44:00.021 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19860327
16:44:00.022 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19851225
16:44:00.022 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19850924
16:44:00.022 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19850624
16:44:00.022 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19850324
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19841222
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19840921
